Date,Open,High,Low,Close,Adj Close,Volume
3/23/2020,158,162,149.199997,154.300003,133.202591,51353150
3/24/2020,162.949997,163.699997,147.399994,149.699997,129.231522,52552796
3/25/2020,151,152,139,147.350006,127.202843,62505978
3/26/2020,150,159.399994,143.25,156.399994,135.015442,58443451
3/27/2020,162,166,155,163.199997,140.885681,32636484
3/30/2020,156.050003,164.899994,156.050003,159.199997,137.432587,28120340
3/31/2020,164,173.850006,161.550003,171.699997,148.22348,42630666
4/1/2020,171.699997,172.75,164.550003,166.399994,143.648132,18141970
4/3/2020,167.899994,182.75,167,177.899994,153.575745,62867436
4/7/2020,185.699997,185.699997,173.649994,181.550003,156.7267,36118591
4/8/2020,180.850006,184,176.649994,178.649994,154.223206,37561082
4/9/2020,184,186.25,180,185.25,159.920776,42626960
4/13/2020,184.5,186.649994,181.050003,181.600006,156.769836,17744169
4/15/2020,184.050003,193.75,182.699997,189.350006,163.46019,49092699
4/16/2020,189.649994,191.199997,185.449997,186.350006,160.870377,27080032
4/17/2020,190.449997,191.399994,186.949997,188.100006,162.381088,26667421
4/20/2020,189.949997,189.949997,179.5,180.699997,155.992889,35764287
4/21/2020,178,184.300003,176.050003,179.600006,155.043304,23333661
4/22/2020,179,183.550003,176,182.25,157.330963,25163402
4/23/2020,182.949997,184,179.649994,180.550003,155.863403,32968029
4/24/2020,181,182.800003,179.300003,180.050003,155.431778,18049697
4/27/2020,180.25,182.300003,179.300003,179.850006,155.259125,13085703
4/28/2020,180,180.800003,178.050003,179.449997,154.913818,17802635
4/29/2020,180.5,182.899994,179.649994,182.149994,157.244644,21461067
4/30/2020,184.899994,184.899994,180.449997,182.050003,157.158325,30164713
5/4/2020,181.75,181.75,170.649994,174.050003,150.252151,30294317
5/5/2020,175,177.449997,172,173.899994,150.122665,17707577
5/6/2020,171.399994,171.399994,160.5,163.899994,141.48996,65586734
5/7/2020,164,165.850006,160.5,161,138.986496,24249585
5/8/2020,163.949997,164.149994,157.100006,158.25,136.612488,25307015
5/11/2020,160,163.5,158,158.449997,136.785126,18095473
5/12/2020,158.449997,165.899994,157.5,165.050003,142.482742,21387527
5/13/2020,173.399994,173.600006,164.5,165.399994,142.784851,20015124
5/14/2020,164.5,168.25,161.949997,163.800003,141.403656,14949993
5/15/2020,162.199997,165.5,161.149994,164.649994,142.137421,14950243
5/18/2020,166,167.300003,163.149994,164.75,142.22374,20801299
5/19/2020,166.5,171.649994,165.100006,170.75,147.403366,20142171
5/20/2020,171.949997,177,171,175.75,151.719711,25320734
5/21/2020,175.600006,190.449997,172.649994,188.949997,163.114883,58382197
5/22/2020,188,191.899994,184.600006,186.350006,160.870377,39013770
5/26/2020,190,194.949997,187.800003,191.699997,165.488876,53233404
5/27/2020,192.5,193.899994,186.899994,192.149994,165.877335,24546119
5/28/2020,192.300003,192.899994,189,190.649994,164.582428,24578072
5/29/2020,190.449997,198,189,197.350006,170.366364,35834621
6/1/2020,201,205.25,199,200.550003,173.128815,28508405
6/2/2020,201.899994,201.899994,196.699997,197.25,170.280029,22631373
6/3/2020,200,200.899994,195.600006,196.699997,169.805222,18979188
6/4/2020,197.75,202.5,195,200.149994,172.783493,21996048
6/5/2020,201.800003,202,198.649994,200,172.654022,14629659
6/8/2020,202.899994,203.649994,197,197.649994,170.625336,19551313
6/9/2020,198.25,206.199997,197.649994,198.5,171.3591,39914264
6/10/2020,199.449997,203.149994,198.300003,199.050003,171.833908,27199665
6/11/2020,200,201.25,193.600006,194.25,167.690231,19847133
6/12/2020,188.949997,195.199997,187.850006,193.899994,167.388046,22562768
6/15/2020,193.899994,193.949997,186.300003,187.199997,161.604156,24462536
6/16/2020,190.800003,190.949997,181.899994,185,159.704971,27636105
6/17/2020,184,185,180.699997,181.199997,156.42453,24027295
6/18/2020,181.199997,187.5,180.699997,186.600006,161.086212,28887489
6/19/2020,187.100006,187.949997,183.600006,184.050003,158.884857,30531449
6/22/2020,186.5,187.5,183.149994,185,159.704971,31395991
6/23/2020,185.399994,187.5,184.75,185.850006,160.438736,26546793
6/24/2020,187.399994,194.699997,186.149994,191.850006,165.618378,54652978
6/25/2020,192.25,203.5,191.649994,202.100006,174.466904,75574255
6/26/2020,206,209.399994,193.300003,195.199997,168.510315,71956002
6/29/2020,202.5,203,196.199997,197.25,170.280029,91503336
6/30/2020,199.399994,199.399994,194,194.649994,168.035522,41210494
7/1/2020,194.649994,203.850006,194.649994,202.899994,175.157516,44297953
7/2/2020,204.449997,206.75,202.550003,205.850006,177.704147,39320871
7/3/2020,208,208.5,206,207.550003,179.171722,37893277
7/6/2020,200.350006,201.949997,198.949997,199.800003,181.350098,34710176
7/7/2020,200,200.5,194,194.25,176.312576,31263172
7/8/2020,194.25,197.949997,194.25,196.300003,178.173294,21274354
7/9/2020,196.899994,197,194.149994,195.449997,177.401779,18769502
7/10/2020,195.149994,196.5,194,194.350006,176.403351,16191544
7/13/2020,195.899994,198.75,195.100006,197.550003,179.307846,20297515
7/14/2020,197.399994,199.5,192.75,195.899994,177.810211,18474376
7/15/2020,196.350006,200,194.5,198.699997,180.351669,23776757
7/16/2020,198.699997,198.850006,192,193.850006,175.949509,22144320
7/17/2020,193.300003,195.399994,193,194.050003,176.131058,14882294
7/20/2020,195,195.350006,192.350006,192.699997,174.905716,18914963
7/21/2020,192.100006,194.199997,191.5,192.25,174.497253,28010715
7/22/2020,193,197.899994,192.5,196.550003,178.400192,32572133
7/23/2020,197.649994,201.5,196.800003,200.699997,182.166962,31488108
7/24/2020,201,201.699997,197.300003,199.600006,181.168564,60183102
7/27/2020,200.5,200.5,195.149994,196.399994,178.264038,22645697
7/28/2020,197,198.649994,195.050003,195.399994,177.356384,19287132
7/29/2020,193.449997,198.199997,193.399994,196.699997,178.536331,14831635
7/30/2020,198.399994,198.399994,192.5,193.350006,175.495697,16315231
7/31/2020,193.5,196.949997,193.5,194.149994,176.221802,16652851
8/3/2020,194,194,191.899994,192.600006,174.814941,13265411
8/4/2020,192.600006,195.800003,192.600006,193.649994,175.767975,17187619
8/5/2020,194.5,194.600006,191.699997,192.800003,174.996475,48768332
8/6/2020,194.199997,195.600006,193.100006,195.350006,177.311005,17886089
8/7/2020,195.5,197,194.149994,196.050003,177.946365,20911818
8/10/2020,196.399994,199.649994,196.399994,198.850006,180.487823,16474505
